,index,shannon,vowels,numbers,dots,length,symbols,f_slash,d_d,d_a,d_s,a_d,a_a,a_s,s_d,s_a,s_s,class
8042,12714,3.0,10,0,2,30,2,2,0.0,0.0,0.0,0.0,22.0,4.0,0.0,3.0,0.0,1
8043,2657,4.0,30,10,2,111,3,4,8.0,0.0,2.0,0.0,70.0,14.0,2.0,14.0,0.0,0
8044,11045,4.0,40,3,3,141,8,3,0.0,0.0,2.0,0.0,91.0,21.0,3.0,20.0,3.0,1
8045,12698,4.0,9,0,2,38,2,3,0.0,0.0,0.0,0.0,28.0,5.0,0.0,4.0,0.0,1
8046,13353,4.0,8,0,2,32,3,3,0.0,0.0,0.0,0.0,21.0,4.0,0.0,4.0,2.0,1
8047,10905,4.0,55,7,4,190,8,3,3.0,0.0,3.0,0.0,123.0,27.0,4.0,26.0,3.0,1
8048,19795,4.0,20,3,2,76,7,3,1.0,0.0,1.0,0.0,46.0,12.0,2.0,11.0,2.0,1
8049,17084,4.0,25,3,3,99,4,8,1.0,0.0,2.0,0.0,69.0,11.0,2.0,11.0,2.0,1
8050,17666,4.0,21,5,1,67,4,5,3.0,0.0,2.0,0.0,45.0,6.0,2.0,6.0,2.0,1
8051,18827,3.0,16,28,1,90,4,4,7.0,3.0,18.0,13.0,10.0,9.0,8.0,18.0,3.0,1
8052,5326,3.0,8,0,1,19,2,1,0.0,0.0,0.0,0.0,15.0,2.0,0.0,1.0,0.0,0
8053,16045,3.0,8,0,2,23,1,0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,2.0,0.0,1
8054,6578,3.0,13,0,2,40,2,3,0.0,0.0,0.0,0.0,29.0,5.0,0.0,5.0,0.0,0
8055,13862,3.0,10,0,3,34,2,1,0.0,0.0,0.0,0.0,25.0,4.0,0.0,4.0,0.0,1
8056,2799,4.0,8,3,1,31,5,1,0.0,3.0,0.0,2.0,15.0,5.0,1.0,4.0,0.0,0
8057,4306,4.0,8,0,1,27,3,3,0.0,0.0,0.0,0.0,17.0,5.0,0.0,4.0,0.0,0
8058,17211,3.0,7,1,4,28,2,2,0.0,1.0,0.0,1.0,14.0,6.0,0.0,5.0,0.0,1
8059,18810,4.0,16,0,3,62,4,3,0.0,0.0,0.0,0.0,43.0,8.0,0.0,8.0,2.0,1
8060,17599,4.0,33,10,3,123,7,3,4.0,0.0,5.0,1.0,75.0,15.0,5.0,15.0,2.0,1
8061,7244,4.0,9,5,1,37,3,2,1.0,3.0,0.0,3.0,19.0,5.0,1.0,4.0,0.0,0
8062,298,4.0,9,8,2,45,3,2,6.0,0.0,2.0,1.0,25.0,4.0,1.0,5.0,0.0,0
8063,18815,4.0,5,4,3,37,5,3,3.0,0.0,0.0,0.0,17.0,7.0,1.0,6.0,2.0,1
8064,9241,4.0,9,2,1,47,3,3,1.0,1.0,0.0,1.0,27.0,8.0,0.0,8.0,0.0,0
8065,6770,4.0,17,0,2,53,3,1,0.0,0.0,0.0,0.0,38.0,7.0,0.0,7.0,0.0,0
8066,3823,4.0,26,0,2,88,3,1,0.0,0.0,0.0,0.0,65.0,11.0,0.0,11.0,0.0,0
8067,16272,4.0,11,0,2,44,4,5,0.0,0.0,0.0,0.0,28.0,7.0,0.0,6.0,2.0,1
8068,7977,4.0,21,3,5,71,2,5,2.0,0.0,1.0,1.0,47.0,9.0,0.0,10.0,0.0,0
8069,11463,4.0,20,4,3,86,8,3,2.0,0.0,1.0,0.0,51.0,14.0,2.0,13.0,2.0,1
8070,2035,4.0,12,0,1,43,3,2,0.0,0.0,0.0,0.0,28.0,7.0,0.0,7.0,0.0,0
8071,4039,4.0,5,2,3,28,2,1,1.0,1.0,0.0,1.0,16.0,4.0,0.0,4.0,0.0,0
8072,10450,4.0,5,0,2,30,3,3,0.0,0.0,0.0,0.0,19.0,4.0,0.0,4.0,2.0,1
8073,16047,4.0,33,6,3,121,7,3,2.0,0.0,3.0,0.0,76.0,17.0,4.0,16.0,2.0,1
8074,12117,3.0,7,0,2,25,2,2,0.0,0.0,0.0,0.0,16.0,4.0,0.0,4.0,0.0,1
8075,10164,3.0,11,0,1,26,1,0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,1.0,0.0,1
8076,16996,4.0,18,0,2,62,4,3,0.0,0.0,0.0,0.0,49.0,5.0,0.0,5.0,2.0,1
8077,10291,3.0,4,0,1,14,1,0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,0.0,1
8078,1499,4.0,25,8,1,90,4,8,5.0,0.0,3.0,0.0,56.0,10.0,3.0,10.0,2.0,0
8079,13397,4.0,11,0,3,45,4,3,0.0,0.0,0.0,0.0,28.0,7.0,0.0,7.0,2.0,1
8080,3512,4.0,15,6,1,44,3,3,5.0,0.0,0.0,0.0,28.0,5.0,1.0,4.0,0.0,0
8081,19927,4.0,17,0,5,67,3,5,0.0,0.0,0.0,0.0,46.0,9.0,0.0,9.0,2.0,1
8082,14220,5.0,25,20,1,183,5,4,2.0,18.0,0.0,18.0,129.0,7.0,0.0,6.0,2.0,1
8083,8844,4.0,14,16,3,70,3,5,13.0,0.0,2.0,0.0,34.0,9.0,3.0,8.0,0.0,0
8084,8362,2.0,2,0,1,9,2,1,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0
8085,6828,3.0,5,0,1,19,2,1,0.0,0.0,0.0,0.0,15.0,2.0,0.0,1.0,0.0,0
8086,7130,4.0,9,8,1,42,3,2,7.0,0.0,0.0,0.0,22.0,6.0,1.0,5.0,0.0,0
8087,17198,3.0,7,0,1,20,1,0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1.0,0.0,1
8088,15082,4.0,23,6,3,91,7,4,4.0,0.0,1.0,0.0,54.0,14.0,2.0,13.0,2.0,1
8089,4085,3.0,6,0,2,22,2,0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,3.0,0.0,0
8090,242,3.0,4,7,1,25,2,3,6.0,0.0,1.0,1.0,10.0,3.0,0.0,3.0,0.0,0
8091,18020,4.0,45,8,4,147,8,3,5.0,0.0,2.0,0.0,97.0,19.0,3.0,18.0,2.0,1
8092,13990,3.0,7,0,2,26,2,3,0.0,0.0,0.0,0.0,16.0,5.0,0.0,4.0,0.0,1
8093,3144,3.0,4,5,1,17,2,1,4.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0
8094,12563,4.0,19,0,1,65,4,4,0.0,0.0,0.0,0.0,46.0,8.0,0.0,8.0,2.0,1
8095,1644,4.0,9,3,1,31,4,1,1.0,1.0,0.0,2.0,18.0,4.0,0.0,4.0,0.0,0
8096,14547,4.0,13,0,2,46,2,4,0.0,0.0,0.0,0.0,33.0,6.0,0.0,6.0,0.0,1
8097,7371,4.0,30,27,2,129,7,4,22.0,0.0,4.0,3.0,68.0,12.0,2.0,14.0,3.0,0
8098,15469,4.0,7,1,2,40,3,4,0.0,1.0,0.0,1.0,25.0,5.0,0.0,5.0,2.0,1
8099,5594,3.0,7,1,1,39,3,3,0.0,1.0,0.0,1.0,20.0,8.0,0.0,8.0,0.0,0
8100,10948,4.0,8,4,3,43,4,2,3.0,0.0,0.0,0.0,25.0,7.0,1.0,6.0,0.0,1
8101,16174,4.0,34,214,3,392,7,10,189.0,0.0,25.0,0.0,77.0,36.0,25.0,36.0,3.0,1
8102,15811,3.0,14,0,2,49,4,3,0.0,0.0,0.0,0.0,36.0,5.0,0.0,5.0,2.0,1
8103,14466,4.0,14,5,3,52,4,4,4.0,1.0,0.0,0.0,30.0,7.0,1.0,6.0,2.0,1
8104,17372,4.0,15,10,5,90,4,5,4.0,0.0,6.0,0.0,47.0,11.0,6.0,11.0,4.0,1
8105,16617,4.0,15,0,2,52,3,5,0.0,0.0,0.0,0.0,37.0,6.0,0.0,6.0,2.0,1
8106,5231,4.0,10,5,1,33,4,1,4.0,0.0,0.0,0.0,20.0,4.0,1.0,3.0,0.0,0
8107,2076,3.0,11,0,1,26,2,1,0.0,0.0,0.0,0.0,22.0,2.0,0.0,1.0,0.0,0
8108,4103,4.0,8,0,2,26,4,1,0.0,0.0,0.0,0.0,15.0,5.0,0.0,5.0,0.0,0
8109,7493,4.0,7,0,1,29,5,1,0.0,0.0,0.0,0.0,18.0,5.0,0.0,4.0,1.0,0
8110,9043,4.0,13,0,3,48,3,2,0.0,0.0,0.0,0.0,31.0,8.0,0.0,8.0,0.0,0
8111,12188,4.0,6,0,2,36,3,5,0.0,0.0,0.0,0.0,21.0,6.0,0.0,6.0,2.0,1
8112,12993,4.0,42,24,4,159,7,7,14.0,8.0,1.0,9.0,93.0,15.0,1.0,15.0,2.0,1
